LinkedIn,Twitter,Facebook,Industry Groups,Number of Funding Rounds,Closed Date,Last Equity Funding Type,IPO Status,Organization Name,CB Rank (Company),Website,Total Funding Amount,Total Funding Amount Currency,Postal Code,Phone Number,Contact Email,Number of Exits,SEMrush - Global Traffic Rank,city,country,Regions,State,Founded Year 5+,Operating Status (Labeled),Company Type (Labeled),employees counts,Within One Year,Total Funding Amount Preprocessed
1,1,0,"Commerce and Shopping, Information Technology, Internet Services, Science and Engineering, Software",1.0,0,Pre-Seed,0,Fourel Aviation Solutions Inc.,사,1,250000.0,USD,46008,1,1,0.0,일,,,European Union (EU),and Africa (EMEA),0,1,1,2.0,1,0
0,0,0,"Manufacturing, Science and Engineering",1.0,0,Angel,0,Zhongke Star Power,사,0,10000000.0,CNY,0,0,0,0.0,일,,cn,Asia-Pacific (APAC),Asia-Pacific (APAC),0,1,1,2.0,1,0
1,0,0,"Commerce and Shopping, Consumer Electronics, Consumer Goods, Hardware, Manufacturing, Science and Engineering, Software",0.0,0,0,0,aetherdyne,오,1,0.0,0,501505,0,1,0.0,일,,,Europe,Middle East,0,1,1,2.0,0,0
0,0,0,"Hardware, Science and Engineering, Software, Transportation",0.0,0,0,0,Bramhaandco,오,1,0.0,0,400708,1,1,0.0,일,,,Asia-Pacific (APAC),Asia-Pacific (APAC),0,1,1,1.0,0,0
1,1,0,"Artificial Intelligence (AI), Data and Analytics, Gaming, Professional Services, Science and Engineering, Software, Sports",0.0,0,0,0,Checkmate AI,오,1,0.0,0,0,0,1,0.0,일,,,0,0,0,1,1,1.0,0,0
0,0,0,"Agriculture and Farming, Artificial Intelligence (AI), Data and Analytics, Natural Resources, Navigation and Mapping, Science and Engineering, Software, Sustainability",0.0,0,0,0,SC Solutions,오,1,0.0,0,0,0,1,0.0,일,,us,Washington DC Metro Area,Southern US,0,1,1,1.0,0,0
0,0,0,"Artificial Intelligence (AI), Data and Analytics, Hardware, Manufacturing, Science and Engineering, Software, Transportation",0.0,0,0,0,Spacetron,오,0,0.0,0,0,0,0,0.0,일,,,Asia-Pacific (APAC),Asia-Pacific (APAC),0,1,1,1.0,0,0
1,0,0,"Consumer Electronics, Consumer Goods, Hardware, Science and Engineering",0.0,0,0,0,Ankitronix research and development pvt ltd,오,0,0.0,0,560017,1,1,0.0,일,,,Asia-Pacific (APAC),Asia-Pacific (APAC),0,1,1,1.0,0,0
1,1,0,"Artificial Intelligence (AI), Consumer Electronics, Consumer Goods, Data and Analytics, Hardware, Information Technology, Navigation and Mapping, Science and Engineering, Software",0.0,0,0,0,Autonomous Pioneer,오,1,0.0,0,0,1,1,0.0,일,,,Europe,Middle East,0,1,1,1.0,0,0
0,0,0,"Manufacturing, Science and Engineering",1.0,0,Seed,0,Aerospace composite materials,오,0,0.0,USD,0,0,0,0.0,일,,,0,0,0,1,1,2.0,1,0
1,0,0,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",0.0,0,0,0,Aistrospace,오,1,0.0,0,0,0,1,0.0,일,,,Europe,Middle East,0,1,1,2.0,0,0
1,0,0,"Other, Science and Engineering",0.0,0,0,0,Vertiports Network,오,1,0.0,0,0,0,1,0.0,일,,,0,0,0,1,1,0.0,0,0
1,1,0,Science and Engineering,0.0,0,0,0,AstroSpheres,오,1,0.0,0,560036,1,1,0.0,일,,,Asia-Pacific (APAC),Asia-Pacific (APAC),0,1,1,1.0,0,0
1,1,0,"Software, Transportation",1.0,0,Pre-Seed,0,Re CAE,사,1,20000.0,USD,3961,0,1,0.0,오,,,Europe,and Africa (EMEA),0,1,1,1.0,1,0
1,0,0,"Energy, Government and Military, Information Technology, Manufacturing, Natural Resources, Other, Science and Engineering",0.0,0,0,0,Fixaible,오,1,0.0,0,B2T1H7,1,1,0.0,일,,,0,0,0,1,1,1.0,0,0
1,0,0,Transportation,1.0,0,0,0,Oligo,사,1,100000.0,USD,0,0,1,0.0,일,,us,Greater Boston Area,New England,0,1,1,1.0,1,0
1,1,1,"Manufacturing, Science and Engineering",0.0,0,0,0,Aadi Space,오,1,0.0,0,0,1,1,0.0,일,,us,San Francisco Bay Area,West Coast,0,1,1,1.0,0,0
0,0,0,"Data and Analytics, Hardware, Information Technology, Navigation and Mapping, Science and Engineering",0.0,0,0,0,Square Aerospace,오,1,0.0,0,0,0,1,0.0,일,,,Asia-Pacific (APAC),Asia-Pacific (APAC),0,1,1,1.0,0,0
1,1,1,"Sales and Marketing, Science and Engineering, Sustainability",0.0,0,0,0,Green Orbit Digital,오,1,0.0,0,EC2A 4NE,0,1,0.0,일,,,Europe,and Africa (EMEA),0,1,1,1.0,0,0
1,1,0,"Professional Services, Science and Engineering",0.0,0,0,0,Aviamentor,오,1,0.0,0,0,0,1,0.0,오,,,0,0,0,1,1,1.0,0,0
1,0,0,"Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software, Transportation",0.0,0,0,0,Planetary Systems AI,일,1,0.0,0,0,0,0,0.0,일,,,0,0,0,1,0,1.0,0,0
0,0,0,"Other, Science and Engineering, Transportation",1.0,0,Seed,0,Moviation,오,1,0.0,USD,0,1,1,0.0,일,,,Asia-Pacific (APAC),Asia-Pacific (APAC),0,1,1,2.0,1,0
1,0,1,"Information Technology, Science and Engineering, Transportation",0.0,0,0,0,Safevix,오,1,0.0,0,10141,0,1,0.0,일,,,European Union (EU),and Africa (EMEA),0,1,1,2.0,0,0
0,1,0,Science and Engineering,0.0,0,0,0,Internet of Hardware,오,1,0.0,0,92806,0,1,0.0,일,,us,Greater Los Angeles Area,Western US,0,1,1,3.0,0,0
0,0,0,"Design, Science and Engineering, Transportation",0.0,0,0,0,Rocket Link Technology,오,1,0.0,0,252-5210,0,1,0.0,일,,,Asia-Pacific (APAC),Asia-Pacific (APAC),0,1,1,1.0,0,0
1,1,0,"Consumer Electronics, Consumer Goods, Government and Military, Hardware, Information Technology, Privacy and Security, Science and Engineering, Software",1.0,0,Seed,0,Aerodome,사,1,6500000.0,USD,0,0,0,0.0,오,new_york,us,Greater New York Area,Northeastern US,0,1,1,2.0,1,0
0,1,0,"Community and Lifestyle, Health Care, Information Technology, Transportation",0.0,0,0,0,Droppers.Earth,오,1,0.0,0,0,0,1,0.0,일,,,0,0,0,1,1,1.0,0,0
1,0,0,"Health Care, Science and Engineering",0.0,0,0,0,AllSeeing,오,1,0.0,0,0,0,1,0.0,일,,,0,0,0,1,1,1.0,0,0
1,1,0,Science and Engineering,1.0,0,Pre-Seed,0,OLM,오,1,0.0,USD,0,0,1,0.0,일,,,European Union (EU),and Africa (EMEA),0,1,0,1.0,1,0
1,1,1,"Consumer Electronics, Consumer Goods, Hardware, Science and Engineering, Software",0.0,0,0,0,StarX91,오,1,0.0,0,801503,1,1,0.0,일,,,Asia-Pacific (APAC),Asia-Pacific (APAC),0,1,1,1.0,0,0
1,0,0,"Manufacturing, Science and Engineering, Transportation",0.0,0,0,0,BlackStar Orbital Technologies Corporation,오,1,0.0,0,0,0,1,0.0,일,,us,East Coast,Southern US,0,1,1,1.0,0,0
1,0,0,Science and Engineering,0.0,0,0,0,NanoPyro,오,1,0.0,0,1400,0,1,0.0,일,,,European Union (EU),and Africa (EMEA),0,1,1,1.0,0,0
0,0,0,"Manufacturing, Science and Engineering, Transportation",1.0,0,Seed,0,Wenzhou Aerospace Power,사,0,30000000.0,CNY,0,0,0,0.0,일,,cn,Asia-Pacific (APAC),Asia-Pacific (APAC),0,1,1,3.0,0,0
1,1,0,"Government and Military, Information Technology, Science and Engineering, Software",0.0,0,0,0,Aeroplicity,오,1,0.0,0,0,1,1,0.0,일,,,0,0,0,1,1,1.0,0,0
0,0,0,"Hardware, Health Care, Manufacturing, Science and Engineering, Software, Transportation",0.0,0,0,0,Glide Systems,오,1,0.0,0,96734,1,1,0.0,일,,us,Asia-Pacific (APAC),Western US,0,1,1,1.0,0,0
0,0,0,"Science and Engineering, Transportation",1.0,0,Seed,0,Traverser,오,0,0.0,USD,0,0,0,0.0,일,key_ares,cn,Asia-Pacific (APAC),Asia-Pacific (APAC),0,1,1,0.0,1,0
0,0,0,"Manufacturing, Sales and Marketing, Transportation",0.0,0,0,0,Cislunar Technologies,오,1,0.0,0,989-3431,0,0,0.0,일,,,Asia-Pacific (APAC),Asia-Pacific (APAC),0,1,1,0.0,0,0
